opportunity_id,sales_agent,manager,regional_office,product,series,sales_price,account,sector,year_established,account_revenue,employees,office_location,deal_stage,engage_date,close_date,sales_cycle_days,close_value,won_flag
9GENDMWA,"Corliss Cosme","Cara Losch",East,"GTX Basic",GTX,550,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-02-09,2017-05-25,105,603,1
DHACLHPS,"Daniell Hammack","Rocco Neubert",East,"GTX Basic",GTX,550,Bioplex,medical,1991,326.82,1016,"United States",Lost,2017-02-09,2017-05-22,102,0,0
XT9YNOV2,"Donn Cantrell","Rocco Neubert",East,"GTX Plus Pro",GTX,5482,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-02-09,2017-06-11,122,5724,1
WXCW16QT,"Donn Cantrell","Rocco Neubert",East,"GTX Plus Pro",GTX,5482,Bioplex,medical,1991,326.82,1016,"United States",Lost,2017-02-13,2017-06-02,109,0,0
P2LY9NFN,"Cassey Cress","Rocco Neubert",East,"GTX Pro",GTX,4821,Bioplex,medical,1991,326.82,1016,"United States",Won,2017-02-14,2017-05-08,83,4942,1
U64RT0UF,"Donn Cantrell","Rocco Neubert",East,"GTX Plus Basic",GTX,1096,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-02-14,2017-05-29,104,987,1
K4VP5HK4,"Donn Cantrell","Rocco Neubert",East,"MG Advanced",MG,3393,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-02-18,2017-05-08,79,3602,1
10R46CSK,"Lajuana Vencill","Dustin Brinkmann",Central,"MG Advanced",MG,3393,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-02-18,2017-05-07,78,2904,1
HTD2ME9C,"Anna Snelling","Dustin Brinkmann",Central,"GTX Plus Pro",GTX,5482,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-02-19,2017-06-12,113,5370,1
K3DQJ796,"Garret Kinder","Cara Losch",East,"GTX Basic",GTX,550,Bioplex,medical,1991,326.82,1016,"United States",Lost,2017-02-19,2017-05-14,84,0,0
JEPGSQC9,"Violet Mclelland","Cara Losch",East,"GTX Plus Pro",GTX,5482,Bioplex,medical,1991,326.82,1016,"United States",Lost,2017-02-21,2017-05-05,73,0,0
52CROFH2,"Darcel Schlecht","Melvin Marxen",Central,"GTX Basic",GTX,550,Betatech,medical,1986,647.18,1185,Kenya,Lost,2017-02-22,2017-03-05,11,0,0
KATNS4R4,"Lajuana Vencill","Dustin Brinkmann",Central,"GTX Basic",GTX,550,Bioholding,medical,2012,587.34,1356,Philipines,Lost,2017-02-22,2017-05-22,89,0,0
M2TZSYTN,"Moses Frase","Dustin Brinkmann",Central,"GTX Basic",GTX,550,Bioholding,medical,2012,587.34,1356,Philipines,Won,2017-02-23,2017-06-16,113,516,1
0AXGVKN8,"Garret Kinder","Cara Losch",East,"MG Special",MG,55,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-02-24,2017-05-28,93,55,1
TAPNNL1W,"Garret Kinder","Cara Losch",East,"MG Advanced",MG,3393,Bioplex,medical,1991,326.82,1016,"United States",Won,2017-02-24,2017-03-07,11,3278,1
56XQOTXV,"Versie Hillebrand","Dustin Brinkmann",Central,"GTX Plus Pro",GTX,5482,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-02-25,2017-05-17,81,4494,1
8DWOWB6Y,"Anna Snelling","Dustin Brinkmann",Central,"GTX Basic",GTX,550,Betatech,medical,1986,647.18,1185,Kenya,Lost,2017-02-26,2017-03-16,18,0,0
38KKSE72,"Lajuana Vencill","Dustin Brinkmann",Central,"GTX Basic",GTX,550,Bioholding,medical,2012,587.34,1356,Philipines,Won,2017-02-27,2017-06-01,94,530,1
OV60VIBB,"Niesha Huffines","Melvin Marxen",Central,"GTX Basic",GTX,550,Betatech,medical,1986,647.18,1185,Kenya,Lost,2017-02-27,2017-05-08,70,0,0
2L5ZWLI7,"Cassey Cress","Rocco Neubert",East,"GTX Plus Basic",GTX,1096,Betasoloin,medical,1999,251.41,495,"United States",Lost,2017-03-01,2017-05-25,85,0,0
9924I5ZF,"Cecily Lampkin","Dustin Brinkmann",Central,"GTX Plus Pro",GTX,5482,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-03-02,2017-05-25,84,5728,1
POB32WHJ,"Daniell Hammack","Rocco Neubert",East,"GTX Plus Basic",GTX,1096,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Lost,2017-03-04,2017-05-06,63,0,0
AJJ7VJWA,"Niesha Huffines","Melvin Marxen",Central,"GTX Pro",GTX,4821,Bioholding,medical,2012,587.34,1356,Philipines,Lost,2017-03-04,2017-05-02,59,0,0
ITCY8YV0,"Zane Levy","Summer Sewald",West,"GTX Pro",GTX,4821,Blackzim,retail,2009,497.11,1588,"United States",Won,2017-03-04,2017-06-11,99,5876,1
OJVA8ZEK,"Daniell Hammack","Rocco Neubert",East,"GTX Plus Basic",GTX,1096,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-03-05,2017-06-08,95,966,1
HRWHRCH8,"Violet Mclelland","Cara Losch",East,"MG Special",MG,55,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-03-05,2017-03-14,9,48,1
3DKK3JF3,"Reed Clapper","Rocco Neubert",East,"GTX Basic",GTX,550,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Lost,2017-03-06,2017-05-29,84,0,0
ITIQJARB,"Gladys Colclough","Melvin Marxen",Central,"GTX Plus Pro",GTX,5482,Bioholding,medical,2012,587.34,1356,Philipines,Won,2017-03-07,2017-03-11,4,4887,1
JTSUYWUD,"Kary Hendrixson","Summer Sewald",West,"GTX Plus Pro",GTX,5482,Blackzim,retail,2009,497.11,1588,"United States",Lost,2017-03-07,2017-05-24,78,0,0
ENOMNCOJ,"Cecily Lampkin","Dustin Brinkmann",Central,"MG Special",MG,55,Bioholding,medical,2012,587.34,1356,Philipines,Won,2017-03-08,2017-06-03,87,59,1
CDA8Y12G,"Markita Hansen","Celia Rouche",West,"MG Special",MG,55,Blackzim,retail,2009,497.11,1588,"United States",Won,2017-03-08,2017-05-07,60,61,1
KEF5O2Q6,"Moses Frase","Dustin Brinkmann",Central,"GTX Basic",GTX,550,Betatech,medical,1986,647.18,1185,Kenya,Lost,2017-03-08,2017-06-26,110,0,0
YFP8IZ98,"Rosie Papadopoulos","Cara Losch",East,"MG Special",MG,55,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-03-08,2017-06-22,106,61,1
U9CDTLZM,"Vicki Laflamme","Celia Rouche",West,"MG Special",MG,55,Blackzim,retail,2009,497.11,1588,"United States",Lost,2017-03-08,2017-05-26,79,0,0
6LI7FXQT,"Darcel Schlecht","Melvin Marxen",Central,"MG Special",MG,55,Bioholding,medical,2012,587.34,1356,Philipines,Lost,2017-03-09,2017-05-28,80,0,0
HALGOQ5D,"Donn Cantrell","Rocco Neubert",East,"GTX Pro",GTX,4821,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-03-14,2017-05-30,77,4688,1
TW6D3KT4,"Maureen Marcano","Summer Sewald",West,"MG Advanced",MG,3393,Blackzim,retail,2009,497.11,1588,"United States",Won,2017-03-14,2017-05-12,59,2798,1
3S31RHE5,"Cassey Cress","Rocco Neubert",East,"GTX Pro",GTX,4821,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-03-15,2017-05-18,64,4497,1
7IFEKEMG,"Violet Mclelland","Cara Losch",East,"MG Special",MG,55,Bioplex,medical,1991,326.82,1016,"United States",Won,2017-03-15,2017-06-06,83,53,1
K4ETVW4H,"Boris Faz","Rocco Neubert",East,"MG Special",MG,55,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-03-16,2017-05-12,57,53,1
RSFYKC1F,"Moses Frase","Dustin Brinkmann",Central,"GTX Basic",GTX,550,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-03-16,2017-06-25,101,619,1
SSX3QRTB,"Rosie Papadopoulos","Cara Losch",East,"MG Special",MG,55,Bioplex,medical,1991,326.82,1016,"United States",Lost,2017-03-17,2017-05-08,52,0,0
87XTACKH,"Jonathan Berthelot","Melvin Marxen",Central,"GTX Plus Basic",GTX,1096,Bioholding,medical,2012,587.34,1356,Philipines,Won,2017-03-18,2017-05-26,69,1137,1
8LPO6YCO,"Marty Freudenburg","Melvin Marxen",Central,"MG Advanced",MG,3393,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-03-18,2017-05-07,50,3542,1
6RJE18RW,"Cassey Cress","Rocco Neubert",East,"GTX Plus Basic",GTX,1096,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-03-19,2017-03-24,5,1161,1
LJIAOC0Q,"Violet Mclelland","Cara Losch",East,"MG Special",MG,55,Bioplex,medical,1991,326.82,1016,"United States",Won,2017-03-19,2017-06-04,77,52,1
1N99TLIA,"Maureen Marcano","Summer Sewald",West,"MG Advanced",MG,3393,Blackzim,retail,2009,497.11,1588,"United States",Lost,2017-03-20,2017-06-02,74,0,0
N8F2PFQP,"Boris Faz","Rocco Neubert",East,"GTX Plus Basic",GTX,1096,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-03-21,2017-04-03,13,992,1
DV9ZB9KL,"Versie Hillebrand","Dustin Brinkmann",Central,"GTX Basic",GTX,550,Bioholding,medical,2012,587.34,1356,Philipines,Lost,2017-03-22,2017-03-27,5,0,0
UD9V38LV,"Donn Cantrell","Rocco Neubert",East,"GTX Pro",GTX,4821,Betasoloin,medical,1999,251.41,495,"United States",Lost,2017-03-23,2017-05-19,57,0,0
8RZ1A49O,"Cecily Lampkin","Dustin Brinkmann",Central,"MG Special",MG,55,Bioholding,medical,2012,587.34,1356,Philipines,Won,2017-03-24,2017-03-31,7,54,1
H6NJKV4F,"Boris Faz","Rocco Neubert",East,"GTX Plus Pro",GTX,5482,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-03-25,2017-05-20,56,5479,1
HRV9DSYF,"Vicki Laflamme","Celia Rouche",West,"GTX Basic",GTX,550,Blackzim,retail,2009,497.11,1588,"United States",Won,2017-03-25,2017-04-03,9,545,1
CJOU1RYX,"Daniell Hammack","Rocco Neubert",East,"GTX Plus Pro",GTX,5482,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-03-27,2017-06-09,74,5182,1
YIGSYPWD,"Corliss Cosme","Cara Losch",East,"GTX Pro",GTX,4821,Bioplex,medical,1991,326.82,1016,"United States",Lost,2017-03-28,2017-04-07,10,0,0
5G645WYV,"Moses Frase","Dustin Brinkmann",Central,"GTX Plus Pro",GTX,5482,Bioholding,medical,2012,587.34,1356,Philipines,Won,2017-03-28,2017-04-07,10,5447,1
9VEB4KWV,"Violet Mclelland","Cara Losch",East,"MG Special",MG,55,Bioplex,medical,1991,326.82,1016,"United States",Lost,2017-03-28,2017-04-07,10,0,0
7ASDRLM5,"Donn Cantrell","Rocco Neubert",East,"GTX Basic",GTX,550,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-03-29,2017-05-11,43,549,1
XLKL4EI0,"Wilburn Farren","Cara Losch",East,"GTX Basic",GTX,550,Betasoloin,medical,1999,251.41,495,"United States",Lost,2017-03-29,2017-04-10,12,0,0
70GGNRPB,"Cecily Lampkin","Dustin Brinkmann",Central,"GTX Basic",GTX,550,Bioholding,medical,2012,587.34,1356,Philipines,Lost,2017-03-30,2017-04-11,12,0,0
HMKFBTYR,"Darcel Schlecht","Melvin Marxen",Central,"GTX Basic",GTX,550,Bioholding,medical,2012,587.34,1356,Philipines,Won,2017-03-30,2017-06-20,82,600,1
T4NRIY5R,"Darcel Schlecht","Melvin Marxen",Central,"GTX Plus Pro",GTX,5482,Bioholding,medical,2012,587.34,1356,Philipines,Won,2017-04-01,2017-04-08,7,5798,1
5PA21ZHE,"Darcel Schlecht","Melvin Marxen",Central,"GTX Pro",GTX,4821,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-04-01,2017-04-10,9,4685,1
A89TBOY5,"Moses Frase","Dustin Brinkmann",Central,"MG Advanced",MG,3393,Bioholding,medical,2012,587.34,1356,Philipines,Lost,2017-04-01,2017-04-06,5,0,0
LGTIXQ46,"Rosalina Dieter","Celia Rouche",West,"MG Special",MG,55,Blackzim,retail,2009,497.11,1588,"United States",Won,2017-04-01,2017-04-07,6,51,1
5PJJCTJ9,"Darcel Schlecht","Melvin Marxen",Central,"MG Advanced",MG,3393,Bioholding,medical,2012,587.34,1356,Philipines,Won,2017-04-02,2017-04-11,9,3263,1
U1BDEL90,"Corliss Cosme","Cara Losch",East,"MG Advanced",MG,3393,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-04-03,2017-04-10,7,2794,1
FH4VP5CL,"Donn Cantrell","Rocco Neubert",East,"GTX Plus Basic",GTX,1096,Bioplex,medical,1991,326.82,1016,"United States",Won,2017-04-03,2017-06-26,84,1109,1
JXS3KFKM,"Gladys Colclough","Melvin Marxen",Central,"GTX Basic",GTX,550,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-04-03,2017-04-05,2,532,1
DRFUPEOU,"Kary Hendrixson","Summer Sewald",West,"GTX Plus Pro",GTX,5482,Blackzim,retail,2009,497.11,1588,"United States",Lost,2017-04-04,2017-05-10,36,0,0
SBLP2LJB,"Niesha Huffines","Melvin Marxen",Central,"GTX Plus Basic",GTX,1096,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-04-04,2017-06-11,68,1067,1
FB1AO8SL,"Anna Snelling","Dustin Brinkmann",Central,"MG Special",MG,55,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-04-05,2017-04-14,9,57,1
NW6OPA4M,"Kary Hendrixson","Summer Sewald",West,"GTX Plus Pro",GTX,5482,Blackzim,retail,2009,497.11,1588,"United States",Won,2017-04-05,2017-05-21,46,4983,1
MBGVOGCY,"Reed Clapper","Rocco Neubert",East,"GTX Plus Pro",GTX,5482,Bioplex,medical,1991,326.82,1016,"United States",Won,2017-04-05,2017-04-12,7,5095,1
SLN6HHLD,"Gladys Colclough","Melvin Marxen",Central,"MG Special",MG,55,Bioholding,medical,2012,587.34,1356,Philipines,Lost,2017-04-06,2017-04-16,10,0,0
GWRPJWRO,"Donn Cantrell","Rocco Neubert",East,"GTX Pro",GTX,4821,Bioplex,medical,1991,326.82,1016,"United States",Lost,2017-04-08,2017-04-16,8,0,0
93X2W24Q,"Anna Snelling","Dustin Brinkmann",Central,"MG Advanced",MG,3393,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-04-09,2017-06-02,54,3666,1
XUQ7RS1Q,"Daniell Hammack","Rocco Neubert",East,"GTX Pro",GTX,4821,Betasoloin,medical,1999,251.41,495,"United States",Lost,2017-04-09,2017-05-30,51,0,0
8GBXTWXE,"Kary Hendrixson","Summer Sewald",West,"MG Advanced",MG,3393,Blackzim,retail,2009,497.11,1588,"United States",Lost,2017-04-09,2017-04-16,7,0,0
TYWS7KJR,"Reed Clapper","Rocco Neubert",East,"GTX Basic",GTX,550,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-04-09,2017-04-16,7,575,1
04LU4OPA,"Daniell Hammack","Rocco Neubert",East,"GTX Plus Pro",GTX,5482,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-04-10,2017-06-11,62,5721,1
XYZ39YT2,"Cecily Lampkin","Dustin Brinkmann",Central,"MG Special",MG,55,Betatech,medical,1986,647.18,1185,Kenya,Lost,2017-04-11,2017-04-19,8,0,0
GAM8C5ET,"Cassey Cress","Rocco Neubert",East,"GTX Plus Pro",GTX,5482,Betasoloin,medical,1999,251.41,495,"United States",Lost,2017-04-12,2017-04-17,5,0,0
Q169CIK6,"Violet Mclelland","Cara Losch",East,"MG Advanced",MG,3393,Bioplex,medical,1991,326.82,1016,"United States",Lost,2017-04-12,2017-04-18,6,0,0
8OHCCD42,"Anna Snelling","Dustin Brinkmann",Central,"GTX Plus Basic",GTX,1096,Bioholding,medical,2012,587.34,1356,Philipines,Lost,2017-04-13,2017-04-15,2,0,0
37LTMWB0,"Darcel Schlecht","Melvin Marxen",Central,"GTX Basic",GTX,550,Betatech,medical,1986,647.18,1185,Kenya,Lost,2017-04-13,2017-04-20,7,0,0
JQ8V4I1K,"Versie Hillebrand","Dustin Brinkmann",Central,"MG Special",MG,55,Bioholding,medical,2012,587.34,1356,Philipines,Won,2017-04-13,2017-04-22,9,56,1
C0SNGBJU,"Vicki Laflamme","Celia Rouche",West,"MG Advanced",MG,3393,Blackzim,retail,2009,497.11,1588,"United States",Lost,2017-04-13,2017-04-23,10,0,0
VYDCTUAU,"Maureen Marcano","Summer Sewald",West,"MG Advanced",MG,3393,Blackzim,retail,2009,497.11,1588,"United States",Lost,2017-04-14,2017-04-16,2,0,0
YZ4AIQQR,"Gladys Colclough","Melvin Marxen",Central,"MG Advanced",MG,3393,Betatech,medical,1986,647.18,1185,Kenya,Lost,2017-04-15,2017-04-16,1,0,0
QK5BW61U,"Donn Cantrell","Rocco Neubert",East,"MG Advanced",MG,3393,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-04-16,2017-08-05,111,3012,1
BWIWI1PC,"Hayden Neloms","Celia Rouche",West,"MG Advanced",MG,3393,Blackzim,retail,2009,497.11,1588,"United States",Lost,2017-04-16,2017-04-22,6,0,0
E2MWXGNG,"Hayden Neloms","Celia Rouche",West,"MG Advanced",MG,3393,Blackzim,retail,2009,497.11,1588,"United States",Lost,2017-04-17,2017-04-19,2,0,0
Q22714T0,"Anna Snelling","Dustin Brinkmann",Central,"MG Special",MG,55,Betatech,medical,1986,647.18,1185,Kenya,Lost,2017-04-18,2017-04-24,6,0,0
FCGE8U5M,"Anna Snelling","Dustin Brinkmann",Central,"MG Special",MG,55,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-04-18,2017-04-25,7,51,1
I6O855AE,"Daniell Hammack","Rocco Neubert",East,"GTX Plus Basic",GTX,1096,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-04-19,2017-05-22,33,1282,1
LW8485Y2,"Cassey Cress","Rocco Neubert",East,"GTX Plus Basic",GTX,1096,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-04-20,2017-08-10,112,1161,1
QNFO4GX8,"Kami Bicknell","Summer Sewald",West,"GTX Basic",GTX,550,Blackzim,retail,2009,497.11,1588,"United States",Won,2017-04-20,2017-04-28,8,502,1
JOLRMB6X,"Rosie Papadopoulos","Cara Losch",East,"GTX Plus Basic",GTX,1096,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-04-20,2017-06-24,65,1036,1
ETADSAC3,"Donn Cantrell","Rocco Neubert",East,"GTX Pro",GTX,4821,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-04-21,2017-04-27,6,4605,1
V4HYSJS2,"Reed Clapper","Rocco Neubert",East,"MG Advanced",MG,3393,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-04-21,2017-06-04,44,2887,1
POFA8BWL,"Rosie Papadopoulos","Cara Losch",East,"MG Advanced",MG,3393,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-04-21,2017-04-23,2,3850,1
OI6UHCTN,"Zane Levy","Summer Sewald",West,"GTX Basic",GTX,550,Blackzim,retail,2009,497.11,1588,"United States",Won,2017-04-21,2017-04-23,2,570,1
2PCPSBP9,"Reed Clapper","Rocco Neubert",East,"GTX Basic",GTX,550,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Lost,2017-04-22,2017-05-08,16,0,0
FI5OA7O6,"Daniell Hammack","Rocco Neubert",East,"GTX Pro",GTX,4821,Bioplex,medical,1991,326.82,1016,"United States",Won,2017-04-23,2017-04-25,2,5149,1
YDBPPU6J,"Donn Cantrell","Rocco Neubert",East,"GTX Pro",GTX,4821,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-04-23,2017-06-03,41,5100,1
PC38XXQN,"Elease Gluck","Celia Rouche",West,"MG Advanced",MG,3393,Blackzim,retail,2009,497.11,1588,"United States",Lost,2017-04-23,2017-08-01,100,0,0
7EBT21IA,"Gladys Colclough","Melvin Marxen",Central,"GTX Basic",GTX,550,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-04-23,2017-04-24,1,560,1
6VET70WX,"Lajuana Vencill","Dustin Brinkmann",Central,"GTX Basic",GTX,550,Bioholding,medical,2012,587.34,1356,Philipines,Won,2017-04-23,2017-06-15,53,518,1
APWT2PFU,"Rosalina Dieter","Celia Rouche",West,"MG Special",MG,55,Blackzim,retail,2009,497.11,1588,"United States",Won,2017-04-23,2017-04-30,7,59,1
UOXKC4UG,"Violet Mclelland","Cara Losch",East,"MG Advanced",MG,3393,Bioplex,medical,1991,326.82,1016,"United States",Won,2017-04-24,2017-08-04,102,2981,1
FZ1TTF0X,"Moses Frase","Dustin Brinkmann",Central,"GTX Basic",GTX,550,Bioholding,medical,2012,587.34,1356,Philipines,Lost,2017-04-29,2017-05-31,32,0,0
79IN4OVP,"Cassey Cress","Rocco Neubert",East,"GTX Basic",GTX,550,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Lost,2017-05-03,2017-08-01,90,0,0
AETY0W6G,"Reed Clapper","Rocco Neubert",East,"GTX Pro",GTX,4821,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-05-03,2017-05-08,5,4859,1
P05J08B4,"Jonathan Berthelot","Melvin Marxen",Central,"GTX Pro",GTX,4821,Betatech,medical,1986,647.18,1185,Kenya,Lost,2017-05-04,2017-05-20,16,0,0
LZLXBQ0I,"Lajuana Vencill","Dustin Brinkmann",Central,"GTX Plus Basic",GTX,1096,Betatech,medical,1986,647.18,1185,Kenya,Lost,2017-05-04,2017-08-20,108,0,0
